Feature,Coefficient,Std Error,Z-stat,P-value,CI_lower (95%),CI_upper (95%)
Stress Level (1-10),5.579628492810821,0.13030648990222046,42.81926784304964,0.0,5.324227772602469,5.835029213019173
Sleep Hours,-5.567245642906348,0.25755563612710564,-21.615701083547133,0.0,-6.0720546897154755,-5.062436596097221
Therapy Sessions (per month),1.72703690128117,0.10028491513214542,17.22130291485468,0.0,1.530478467622165,1.9235953349401749
Caffeine Intake (mg/day),1.5172898274983229,0.10936875638560511,13.873156078951496,0.0,1.3029270649825369,1.7316525900141089
Alcohol Consumption (drinks/week),0.22583065068646632,0.10201636558373783,2.2136708105044023,0.026851432304075606,0.025878574142340183,0.42578272723059246
Medication,0.2104630490493797,0.06176570705301441,3.407441751921276,0.0006557490298533253,0.08940226322547147,0.33152383487328796
Age,-0.19090050029909866,0.10603579726855554,-1.800340123020977,0.07180694913067565,-0.39873066294546755,0.016929662347270197
Recent Major Life Event,0.14331890295777303,0.06177636847470906,2.3199632237438346,0.02034286687798792,0.022237220747343273,0.26440058516820275
Heart Rate (bpm),0.12261772668896513,0.10571853873247176,1.1598507523761556,0.24610957645478138,-0.08459060922667953,0.3298260626046098
Occupation_Athlete,-0.09786233786464574,0.15677610469059636,-0.6242171793831771,0.5324849660963589,-0.40514350305821456,0.2094188273289231
Sweating Level (1-5),0.09271747334095681,0.08773946474912761,1.0567362543874956,0.2906319740746306,-0.07925187756733329,0.26468682424924694
Occupation_Student,-0.08991359472372248,0.15710036828601784,-0.5723321702214299,0.5670969591770003,-0.39783031656431744,0.21800312711687245
Diet Quality (1-10),-0.08828381291392715,0.09768173333516154,-0.9037904007191535,0.3661065527521352,-0.2797400102508438,0.10317238442298948
Dizziness,0.061192110447751406,0.06176806712644266,0.9906754945478181,0.3218440607214412,-0.059873301120076196,0.18225752201557902
Gender_Other,0.051068508580808206,0.07533146139970609,0.6779174017325974,0.4978240658055135,-0.09658115576261574,0.19871817292423216
Occupation_Other,0.04756738881542262,0.15406569938852588,0.3087474305066844,0.7575136609258717,-0.25440138198608814,0.34953615961693335
Occupation_Doctor,0.04581394825686358,0.15675963509525453,0.2922560277014224,0.7700908765994072,-0.2614349365298353,0.35306283304356245
Occupation_Lawyer,0.04139296443466066,0.15526378379176548,0.266597679277065,0.7897789426551514,-0.26292405179719963,0.345709980666521
Occupation_Scientist,-0.034222095375884345,0.15394237965058058,-0.2223045756052484,0.8240767904014428,-0.3359491594910223,0.2675049687392536
Occupation_Nurse,0.01885700377833223,0.15732047314693112,0.11986363504462977,0.9045911717631432,-0.2894911235896528,0.3272051311463172
Breathing Rate (breaths/min),0.0179078878506691,0.1011965282962384,0.17696148427391017,0.8595386431478731,-0.18043730760995816,0.21625308331129636
Occupation_Chef,-0.0046412743189613494,0.15600331208532645,-0.029751126799300205,0.9762655366577835,-0.3104077660062012,0.3011252173682785
Occupation_Musician,-0.0024369363778981097,0.1587379071881433,-0.01535194977095007,0.9877513974313579,-0.31356323446665896,0.30868936171086275
Family History of Anxiety,0.0,0.09125880750504291,0.0,1.0,-0.1788672627098841,0.1788672627098841
Physical Activity (hrs/week),0.0,0.18422312215468667,0.0,1.0,-0.3610773194231859,0.3610773194231859
Smoking,0.0,0.07328690155962941,0.0,1.0,-0.14364232705687366,0.14364232705687366
Occupation_Engineer,0.0,0.15344241960766267,0.0,1.0,-0.3007471424310188,0.3007471424310188
Gender_Male,0.0,0.07568394623511017,0.0,1.0,-0.14834053462081592,0.14834053462081592
Occupation_Freelancer,0.0,0.1522528762947245,0.0,1.0,-0.29841563753766004,0.29841563753766004
Occupation_Teacher,0.0,0.15491186034149476,0.0,1.0,-0.30362724626932974,0.30362724626932974
