Feature,Mean Importance,Std Error,CI_lower (95%),CI_upper (95%),P-value,Significance
Stress Level (1-10),0.2811338652315733,0.00024338731762453406,0.2806568260890292,0.2816109043741174,0.0,Significant
Sleep Hours,0.020410102617303413,5.132157470266998e-05,0.020309512330886178,0.020510692903720647,0.0,Significant
Therapy Sessions (per month),0.01285297943539697,3.804817507042842e-05,0.012778405012258931,0.01292755385853501,0.0,Significant
Caffeine Intake (mg/day),0.009909263153858282,3.453578486547032e-05,0.00984157301552196,0.009976953292194604,0.0,Significant
Medication,0.00011997670710195329,1.0049319798315896e-05,0.00010028004029725414,0.00013967337390665246,0.276,Not Significant
Alcohol Consumption (drinks/week),0.00011177990625413025,7.328826038709218e-06,9.741540721826019e-05,0.0001261444052900003,0.258,Not Significant
Age,8.783637340630324e-05,6.0363174301907595e-06,7.600519124312935e-05,9.966755556947712e-05,0.246,Not Significant
Occupation,3.857006166277266e-05,5.181673410766316e-06,2.8413981777670677e-05,4.872614154787464e-05,0.386,Not Significant
Gender,2.294920260305444e-05,3.298855033542066e-06,1.648344673731199e-05,2.941495846879689e-05,0.374,Not Significant
Dizziness,2.1632136157504256e-05,3.6866119591964768e-06,1.4406376717479162e-05,2.885789559752935e-05,0.404,Not Significant
Diet Quality (1-10),1.7579904670522284e-05,4.481671868999951e-06,8.79582780728238e-06,2.6363981533762188e-05,0.42,Not Significant
Breathing Rate (breaths/min),1.211147646064381e-05,1.4753999554934196e-06,9.219692547876708e-06,1.5003260373410912e-05,0.356,Not Significant
Family History of Anxiety,0.0,0.0,0.0,0.0,1.0,Not Significant
Smoking,-1.5974723875043616e-05,2.1010708041027185e-06,-2.0092822651084945e-05,-1.1856625099002288e-05,0.638,Not Significant
Physical Activity (hrs/week),-1.9848140488188947e-05,5.369457475368603e-07,-2.0900554153361192e-05,-1.87957268230167e-05,0.946,Not Significant
Heart Rate (bpm),-3.470285524681649e-05,4.4582002217213246e-06,-4.344092768139029e-05,-2.5964782812242692e-05,0.632,Not Significant
Sweating Level (1-5),-3.501026002236185e-05,4.082029011260898e-06,-4.301103688443321e-05,-2.700948316029049e-05,0.664,Not Significant
Recent Major Life Event,-0.00010258772719019871,7.041998133142242e-06,-0.00011639004353115751,-8.878541084923991e-05,0.73,Not Significant
