Feature,Mean |SHAP|,CI_lower (95%),CI_upper (95%)
Stress Level (1-10),1.4696176,1.4539266109466553,1.484857413172722
Therapy Sessions (per month),0.48724648,0.48256266564130784,0.4917324364185333
Sleep Hours,0.4179459,0.41101634725928304,0.4247703686356544
Caffeine Intake (mg/day),0.3010269,0.29812962040305135,0.30364044234156606
Diet Quality (1-10),0.035358436,0.03496732385829091,0.035774183738976714
Medication,0.033065293,0.03285207273438573,0.033260952960699794
Alcohol Consumption (drinks/week),0.031840436,0.0314209814183414,0.03226682115346193
Physical Activity (hrs/week),0.029245947,0.028877378441393375,0.029626833274960518
Age,0.026844624,0.026575215486809613,0.027144604176282883
Recent Major Life Event,0.021256346,0.021097683068364858,0.021419167704880237
Heart Rate (bpm),0.017248739,0.01696439404040575,0.017516615288332104
Sweating Level (1-5),0.015966192,0.015767209231853485,0.016152370627969502
Breathing Rate (breaths/min),0.0066726385,0.00656500943005085,0.006769166921731085
Occupation_Athlete,0.0031306434,0.003030312166083604,0.003232652763836086
Smoking,0.002027734,0.0019783760653808713,0.002078806440113112
Occupation_Other,0.001971635,0.0018926865654066206,0.002057662373408675
Occupation_Lawyer,0.0017830858,0.001731177544570528,0.0018368385994108395
Occupation_Scientist,0.0013816188,0.0013330962974578142,0.0014354602579260245
Gender_Male,0.0013494779,0.0013159492576960475,0.0013851072697434574
Gender_Other,0.00097421743,0.0009513326614978724,0.0009966285608243198
Occupation_Musician,0.00029860248,0.00028064201687811875,0.0003148152412904892
Occupation_Freelancer,0.000105727086,9.923175330186495e-05,0.0001135697310019168
Dizziness,0.0,0.0,0.0
Family History of Anxiety,0.0,0.0,0.0
Occupation_Chef,0.0,0.0,0.0
Occupation_Doctor,0.0,0.0,0.0
Occupation_Engineer,0.0,0.0,0.0
Occupation_Nurse,0.0,0.0,0.0
Occupation_Student,0.0,0.0,0.0
Occupation_Teacher,0.0,0.0,0.0
